City_ID,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
241,nanortalik,GL,15.62,64,0,2.75,60.1432,-45.2371,1647859938
242,coihaique,CL,49.95,87,40,4.61,-45.5752,-72.0662,1647859690
243,kupang,ID,79.21,84,99,2.86,-10.1667,123.5833,1647859940
244,mabopane,ZA,70.18,33,79,3.94,-25.4977,28.1007,1647859941
245,belmonte,BR,78.06,82,31,4.72,-15.8631,-38.8828,1647859941
246,gayny,RU,30.61,80,100,13.22,60.3071,54.3241,1647859942
247,dikson,RU,-7.35,100,45,5.08,73.5069,80.5464,1647859943
248,saint-philippe,RE,80.19,88,98,12.41,-21.3585,55.7679,1647859944
249,tateyama,JP,51.1,77,100,11.05,34.9833,139.8667,1647859945
250,japura,ID,84.69,65,88,1.48,-0.3167,102.35,1647859945
251,mizdah,LY,55.53,45,72,14.9,31.4451,12.9801,1647859946
252,yulin,CN,83.05,68,54,12.28,22.6333,110.15,1647859947
253,teya,RU,21.94,86,100,11.7,60.3778,92.6267,1647859948
254,andra,RU,27.68,85,99,15.55,62.5147,65.8878,1647859948
255,carnarvon,AU,80.67,74,44,19.57,-24.8667,113.6333,1647859949
256,faridpur,BD,95.38,24,4,1.25,23.6,89.8333,1647859950
257,maniitsoq,GL,-9.92,72,1,4.94,65.4167,-52.9,1647859952
258,tuatapere,NZ,53.67,94,74,3.04,-46.1333,167.6833,1647859953
259,pasinler,TR,20.39,85,92,3.27,39.9803,41.6764,1647859953
260,salinopolis,BR,77.14,90,100,3.02,-0.6136,-47.3561,1647859954
261,oranjestad,AW,78.75,73,20,17.27,12.524,-70.027,1647859955
262,sistranda,NO,46.36,66,0,5.03,63.7256,8.834,1647859956
263,touros,BR,83.03,72,58,8.37,-5.1989,-35.4608,1647859957
264,dicabisagan,PH,79.07,87,23,4.03,17.0818,122.4157,1647859957
265,hambantota,LK,93.54,62,40,10.36,6.1241,81.1185,1647859958
266,paamiut,GL,-2.16,89,22,8.66,61.994,-49.6678,1647859960
267,jasper,US,56.68,48,0,8.05,37.2001,-94.3502,1647859831
268,necochea,AR,54.95,72,100,12.55,-38.5473,-58.7368,1647859765
269,guna,IN,96.39,8,1,12.21,24.65,77.3167,1647859963
270,takoradi,GH,85.21,69,84,6.87,4.8845,-1.7554,1647859963
271,san joaquin,US,51.93,69,0,6.91,37.9333,-121.3011,1647859964
272,poum,NC,80.28,75,59,17.29,-20.2333,164.0167,1647859965
273,kavaratti,IN,82.15,66,10,9.08,10.5669,72.642,1647859966
274,sumbe,AO,83.88,74,95,8.86,-11.2061,13.8437,1647859966
275,ostersund,SE,43.25,36,1,2.3,63.1792,14.6357,1647859948
276,kodiak,US,35.11,75,0,14.97,57.79,-152.4072,1647859899
277,chihuahua,MX,48.7,40,6,27.74,28.5,-106.0,1647859698
278,general roca,AR,56.62,53,1,5.75,-39.0333,-67.5833,1647859970
279,nazare,BR,80.83,70,8,3.53,-13.035,-39.0144,1647859782
280,imeni poliny osipenko,RU,12.94,73,78,9.17,52.4201,136.4853,1647859974
281,scottsbluff,US,37.63,70,100,23.02,41.8666,-103.6672,1647859877
282,lavrentiya,RU,-8.25,88,34,4.34,65.5833,-171.0,1647859975
283,salalah,OM,83.26,20,2,7.29,17.0151,54.0924,1647859976
284,guanay,BO,68.23,100,91,1.25,-15.4975,-67.8797,1647859976
285,tselinnoye,RU,24.66,88,57,8.05,53.0833,85.6667,1647859977
286,margate,GB,54.1,71,15,1.01,51.3813,1.3862,1647859978
287,bismarck,US,39.87,83,99,15.01,46.8083,-100.7837,1647859979
288,sjovegan,NO,43.21,90,100,19.66,68.8726,17.8474,1647859980
289,bada,RU,16.92,91,36,3.29,51.392,109.8717,1647859981
290,codrington,AU,60.62,83,100,5.95,-38.2667,141.9667,1647859982
291,mayumba,GA,81.52,73,100,4.68,-3.432,10.6554,1647859983
292,mizoch,UA,48.58,47,0,8.66,50.4,26.15,1647859983
293,correntina,BR,74.46,66,89,3.13,-13.3433,-44.6367,1647859984
294,katangli,RU,13.71,81,66,9.44,51.7102,143.2326,1647859985
295,musoma,TZ,81.54,57,3,17.94,-1.5,33.8,1647859986
296,rawson,AR,63.01,50,90,28.57,-43.3002,-65.1023,1647859743
